# File generated by PiHelper. Please see the project web site for further details on data use terms.
# Exporter: DrugTargetExporter
# Time: 2014.07.15 at 02:17:00 EDT
PiHelper_DrugTarget_ID	HGNC_Symbol	Drug_Name	DataSources	References
1472	MPO	Mesalazine	DrugBank	PubMed:17503181
1473	CHRM1	Benzatropine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:11752352;PubMed:17139284;PubMed:21804595
1474	SLC6A3	Benzatropine	DrugBank;PubMed:21804595	PubMed:10230713;PubMed:11349389;PubMed:11395483;PubMed:11728190;PubMed:16460947;PubMed:21804595;PubMed:11277529
1475	HRH1	Benzatropine	DrugBank	PubMed:16460947
1476	DRD2	Ziprasidone	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:7562537;PubMed:17848919;PubMed:11873706;PubMed:11752352;PubMed:15726024;PubMed:14728084;PubMed:21804595
1477	HTR2A	Ziprasidone	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15121646;PubMed:17848919;PubMed:11509214;PubMed:12445705;PubMed:14728084;PubMed:17450180;PubMed:21804595;PubMed:12530423
1478	DRD1	Ziprasidone	DrugBank	PubMed:17848919
1479	DRD5	Ziprasidone	DrugBank	PubMed:17848919
1480	DRD3	Ziprasidone	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:21804595;PubMed:17139284
1481	DRD4	Ziprasidone	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:21804595;PubMed:17139284
1482	HTR1A	Ziprasidone	DrugBank;PubMed:21804595	PubMed:11910268;PubMed:12923612;PubMed:10516958;PubMed:14728084;PubMed:21804595;PubMed:10924666;PubMed:11132243
1483	HTR1B	Ziprasidone	DrugBank	PubMed:17848919
1484	HTR1D	Ziprasidone	DrugBank;PubMed:21804595	PubMed:7562537;PubMed:11910268;PubMed:10516958;PubMed:14728084;PubMed:21804595;PubMed:11132243
1485	HTR1E	Ziprasidone	DrugBank	PubMed:17848919
1486	HTR2C	Ziprasidone	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:7562537;PubMed:11103883;PubMed:16918396;PubMed:14728084;PubMed:21804595;PubMed:11132243
1487	HTR3A	Ziprasidone	DrugBank	PubMed:17848919
1488	HTR6	Ziprasidone	DrugBank	PubMed:17848919
1489	HTR7	Ziprasidone	DrugBank;PubMed:21804595	PubMed:10432496;PubMed:17242925;PubMed:7583621;PubMed:21804595
1490	HRH1	Ziprasidone	DrugBank;PubMed:21804595	PubMed:7498321;PubMed:21804595;PubMed:11132243
1491	ADRA1A	Ziprasidone	DrugBank;PubMed:21804595	PubMed:20075651;PubMed:17848919;PubMed:21804595
1492	ADRA1B	Ziprasidone	DrugBank	PubMed:17848919
1493	ADRA2A	Ziprasidone	DrugBank	PubMed:17848919
1494	ADRA2B	Ziprasidone	DrugBank	PubMed:17848919
1495	ADRA2C	Ziprasidone	DrugBank	PubMed:17848919
1496	CHRM1	Ziprasidone	DrugBank	PubMed:17848919
1497	CHRM2	Ziprasidone	DrugBank	PubMed:17848919
1498	CHRM3	Ziprasidone	DrugBank	PubMed:17848919
1499	CHRM4	Ziprasidone	DrugBank	PubMed:17848919
1500	CHRM5	Ziprasidone	DrugBank	PubMed:17848919
1501	HTR2B	Methysergide	DrugBank	PubMed:8743744
1502	HTR2C	Methysergide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12555241;PubMed:11752352;PubMed:21804595
1503	HTR2A	Methysergide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11061982;PubMed:11720080;PubMed:10080233;PubMed:10455282;PubMed:21804595;PubMed:11704657
1504	HTR1A	Methysergide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:14501155;PubMed:1838579;PubMed:14581123;PubMed:11049861;PubMed:14517765;PubMed:21804595
1505	HTR7	Methysergide	DrugBank;PubMed:21804595	PubMed:14501155;PubMed:21804595
1506	DRD2	Cabergoline	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:18303487;PubMed:15341508;PubMed:8951172;PubMed:11436517;PubMed:12721865;PubMed:12008749;PubMed:11752352;PubMed:12464354;PubMed:21804595
1507	HTR2B	Cabergoline	DrugBank	PubMed:10641988;PubMed:19570945;PubMed:18992242;PubMed:20426763;PubMed:18691132
1508	DRD3	Cabergoline	DrugBank	PubMed:10641988;PubMed:18992242;PubMed:18691132
1509	HTR2A	Cabergoline	DrugBank	PubMed:10641988;PubMed:18992242;PubMed:20426763;PubMed:18691132
1510	ADRA2B	Cabergoline	DrugBank	PubMed:12388667;PubMed:10641988;PubMed:18992242;PubMed:18691132
1511	HTR1D	Cabergoline	DrugBank	PubMed:10641988;PubMed:18691132
1512	DRD4	Cabergoline	DrugBank	PubMed:12388667;PubMed:18691132
1513	ADRA2A	Cabergoline	DrugBank	PubMed:12388667;PubMed:10641988;PubMed:18691132
1514	HTR1A	Cabergoline	DrugBank	PubMed:10641988;PubMed:18992242;PubMed:18691132
1515	ADRA2C	Cabergoline	DrugBank	PubMed:12388667;PubMed:10641988;PubMed:18691132
1516	DRD5	Cabergoline	DrugBank	PubMed:11436517;PubMed:16982285;PubMed:18691132
1517	DRD1	Cabergoline	DrugBank	PubMed:10641988;PubMed:11436517;PubMed:16982285;PubMed:18691132
1518	HTR1B	Cabergoline	DrugBank	PubMed:10641988;PubMed:18691132
1519	HTR2C	Cabergoline	DrugBank	PubMed:10641988;PubMed:18992242;PubMed:20426763;PubMed:18691132
1520	HTR7	Cabergoline	DrugBank	PubMed:18992242
1521	SCN5A	Phenytoin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:150666;PubMed:15001403;PubMed:21804595
1522	SCN1A	Phenytoin	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15805193;PubMed:17001291;PubMed:20298965;PubMed:21804595
1523	NR3C1	Medrysone	DrugBank;KEGG Drugs	PubMed:6336597;PubMed:11752352
1524	ESR1	Diethylstilbestrol	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17320868;PubMed:17306201;PubMed:17317669;PubMed:17314305;PubMed:17308373;PubMed:11752352;PubMed:20387803;PubMed:21804595
1525	ESRRG	Diethylstilbestrol	DrugBank	PubMed:15161930;PubMed:10592235
1526	ESR2	Diethylstilbestrol	DrugBank;KEGG Drugs	PubMed:19101832;PubMed:15123288
1527	PDE3A	Anagrelide	DrugBank;KEGG Drugs	PubMed:17016423;PubMed:11752352;PubMed:17139284;PubMed:2846839
1528	GSR	Carmustine	DrugBank;PubMed:21804595	PubMed:3806383;PubMed:10378469;PubMed:15321730;PubMed:12477282;PubMed:1312851;PubMed:1394620;PubMed:6094175;PubMed:15104113;PubMed:21804595
1529	ADRB1	Metoprolol	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:14534524;PubMed:11448474;PubMed:10913016;PubMed:12679135;PubMed:12844134;PubMed:11752352;PubMed:21804595
1530	ADRB2	Metoprolol	DrugBank	PubMed:19637941
1531	VKORC1	Dicumarol	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:2424118;PubMed:11752352;PubMed:21804595;PubMed:17139284
1532	NQO1	Dicumarol	DrugBank	PubMed:2113031;PubMed:10949919;PubMed:10755406;PubMed:10874136;PubMed:10419545;PubMed:10683249
1533	CRYZ	Dicumarol	DrugBank	PubMed:1722672;PubMed:17305492;PubMed:16700548;PubMed:12882764;PubMed:10561120
1534	DRD3	Ropinirole	DrugBank;PubMed:21804595	PubMed:10641988;PubMed:11752352;PubMed:18691132;PubMed:21804595
1535	DRD2	Ropinirole	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:1683559;PubMed:10641988;PubMed:10446316;PubMed:11752352;PubMed:18691132;PubMed:17573046;PubMed:21804595
1536	DRD4	Ropinirole	DrugBank	PubMed:18691132;PubMed:11752352
1537	HTR1A	Ropinirole	DrugBank	PubMed:18691132
1538	HTR1D	Ropinirole	DrugBank	PubMed:18691132
1539	HTR2B	Ropinirole	DrugBank	PubMed:18691132
1540	DRD1	Ropinirole	DrugBank	PubMed:18691132
1541	DRD5	Ropinirole	DrugBank	PubMed:18691132
1542	HTR1B	Ropinirole	DrugBank	PubMed:18691132
1543	HTR2A	Ropinirole	DrugBank	PubMed:18691132
1544	HTR2C	Ropinirole	DrugBank	PubMed:18691132
1545	ADRA2A	Ropinirole	DrugBank	PubMed:18691132
1546	ADRA2B	Ropinirole	DrugBank	PubMed:18691132
1547	ADRA2C	Ropinirole	DrugBank	PubMed:18691132
1548	ESR1	Chlorotrianisene	DrugBank;PubMed:21804595	PubMed:2307235;PubMed:6872937;PubMed:17236558;PubMed:11752352;PubMed:21804595
1549	CACNA1C	Isradipine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12135765;PubMed:10766758;PubMed:9607315;PubMed:21804595
1550	CACNA2D1	Isradipine	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:11752352;PubMed:21804595;PubMed:17139284
1551	CACNB2	Isradipine	DrugBank	PubMed:11752352
1552	CACNA1H	Isradipine	DrugBank	PubMed:18974361;PubMed:1281221
1553	CACNA2D2	Isradipine	DrugBank	PubMed:18974361;PubMed:1281221
1554	CACNA1D	Isradipine	DrugBank;KEGG Drugs	PubMed:19029287;PubMed:11285265
1555	CACNA1S	Isradipine	DrugBank;KEGG Drugs	PubMed:16675661
1556	HRH2	Betazole	DrugBank;PubMed:21804595	PubMed:2892392;PubMed:3661710;PubMed:2886642;PubMed:11752352;PubMed:7213132;PubMed:21804595;PubMed:2874214
1557	GABRA1	Topiramate	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:19417176;PubMed:19998575;PubMed:21804595;PubMed:17139284
1558	SCN1A	Topiramate	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15526956;PubMed:11948006;PubMed:17621480;PubMed:21804595;PubMed:15508261;PubMed:12861512
1559	GRIK1	Topiramate	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:19417176;PubMed:12904467;PubMed:11752352;PubMed:15111016;PubMed:12724156;PubMed:21804595
1560	CA2	Topiramate	DrugBank;PubMed:21804595	PubMed:17521680;PubMed:15478125;PubMed:15771438;PubMed:12617904;PubMed:17251017;PubMed:21804595
1561	CA4	Topiramate	DrugBank;PubMed:21804595	PubMed:14971907;PubMed:14684331;PubMed:10768298;PubMed:21804595;PubMed:11784136
1562	AGTR1	Olmesartan	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12076183;PubMed:16220064;PubMed:11451212;PubMed:11752352;PubMed:17163232;PubMed:21804595;PubMed:16775509
1563	TOP2A	Amsacrine	DrugBank;KEGG Drugs	PubMed:11006484;PubMed:11716434;PubMed:11473732;PubMed:11752352;PubMed:1311390;PubMed:10691026;PubMed:1322791
1564	KCNH2	Amsacrine	DrugBank	PubMed:15148258
1565	ADORA1	Theophylline	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:14992338;PubMed:3588607;PubMed:21804595
1566	ADORA2A	Theophylline	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:3588607;PubMed:21804595;PubMed:16357952
1567	ADORA2B	Theophylline	DrugBank;PubMed:21804595	PubMed:16581066;PubMed:16545350;PubMed:15980878;PubMed:11752352;PubMed:12954362;PubMed:3588607;PubMed:21804595
1568	PDE4B	Theophylline	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15639300;PubMed:21804595
1569	PDE5A	Theophylline	DrugBank;PubMed:21804595	PubMed:11752352;PubMed:21804595
1570	PDE4A	Theophylline	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12421478;PubMed:15253881;PubMed:12547256;PubMed:12887610;PubMed:15351234;PubMed:21804595
1571	PDE3A	Theophylline	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16651698;PubMed:12887610;PubMed:21804595;PubMed:15237094
1572	HDAC2	Theophylline	DrugBank	PubMed:12070353;PubMed:15337792
1573	F2	Argatroban	DrugBank;KEGG Drugs	PubMed:10608016;PubMed:10226408;PubMed:10353669;PubMed:10362188;PubMed:11752352;PubMed:10608050
1574	THRA	Liothyronine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:14596673;PubMed:15240882;PubMed:15235154;PubMed:11752352;PubMed:15283690;PubMed:21804595;PubMed:12955882
1575	THRB	Liothyronine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:17315033;PubMed:10592235;PubMed:11159893;PubMed:12776178;PubMed:12668276;PubMed:17139284;PubMed:21804595;PubMed:16099238
1576	SCN5A	Disopyramide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15897781;PubMed:11752352;PubMed:15028073;PubMed:11196553;PubMed:21804595
1577	CHRM1	Disopyramide	DrugBank	PubMed:10413067;PubMed:1690310
1578	CHRM2	Disopyramide	DrugBank	PubMed:10413067;PubMed:1690310
1579	CHRM3	Disopyramide	DrugBank	PubMed:10413067
1580	KCND2	Disopyramide	DrugBank	PubMed:9781919
1581	KCND3	Disopyramide	DrugBank	PubMed:9781919
1582	SCN10A	Lidocaine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:19088384;PubMed:17077153;PubMed:20585544;PubMed:21804595
1583	SCN9A	Lidocaine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:19088384;PubMed:17430993;PubMed:21804595;PubMed:20585544
1584	SCN5A	Lidocaine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16686685;PubMed:17445919;PubMed:17016511;PubMed:16840798;PubMed:19088384;PubMed:21804595;PubMed:20585544
1585	EGFR	Lidocaine	DrugBank	PubMed:16551906
1586	FDPS	Pamidronate	DrugBank;PubMed:21804595	PubMed:15487700;PubMed:12177810;PubMed:11752352;PubMed:11160603;PubMed:15713990;PubMed:10620343;PubMed:21804595
1587	HRH1	Clemastine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:4074605;PubMed:1678430;PubMed:8930778;PubMed:2890562;PubMed:6387510;PubMed:6449094;PubMed:11752352;PubMed:1266718;PubMed:7513381;PubMed:21804595;PubMed:6701456
1588	MGAM	Acarbose	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16359900;PubMed:11752352;PubMed:19275550;PubMed:16702880;PubMed:16763908;PubMed:21804595
1589	AMY2A	Acarbose	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:12890998;PubMed:21804595
1590	GAA	Acarbose	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:1594557;PubMed:3467980;PubMed:15292070;PubMed:3539207;PubMed:11752352;PubMed:11404235;PubMed:16702880;PubMed:21804595;PubMed:16763908
1591	SI	Acarbose	DrugBank;PubMed:21804595	PubMed:15322845;PubMed:2962844;PubMed:12864906;PubMed:16169004;PubMed:6226260;PubMed:21804595
1592	SLC6A4	Venlafaxine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:9537821;PubMed:19238127;PubMed:19728573;PubMed:17224717;PubMed:15695064;PubMed:15910402;PubMed:10884561;PubMed:21804595;PubMed:9305421;PubMed:16140280
1593	SLC6A2	Venlafaxine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:9669506;PubMed:19238127;PubMed:19728573;PubMed:15910402;PubMed:14744476;PubMed:10884561;PubMed:16893531;PubMed:21804595
1594	SLC6A3	Venlafaxine	DrugBank	PubMed:10434156;PubMed:17187269;PubMed:10462128;PubMed:11319571
1595	ESR1	Conjugated Estrogens	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16955786;PubMed:16884174;PubMed:16985877;PubMed:21804595;PubMed:16876190;PubMed:16982590
1596	PTGFR	Travoprost	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16249494;PubMed:9038626;PubMed:18983226;PubMed:19697832;PubMed:11752352;PubMed:18452763;PubMed:16505027;PubMed:19038618;PubMed:19929706;PubMed:21804595
1597	NR3C1	Amcinonide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:16891588;PubMed:17038445;PubMed:16980198;PubMed:17086345;PubMed:16895953;PubMed:17139284;PubMed:21804595
1598	ANXA1	Amcinonide	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:7981624;PubMed:17139284;PubMed:21804595
1599	SLC6A2	Atomoxetine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:9537821;PubMed:15801334;PubMed:18033153;PubMed:16142049;PubMed:14709944;PubMed:12547466;PubMed:12456942;PubMed:12523874;PubMed:19445548;PubMed:21804595;PubMed:12862507
1600	SLC6A4	Atomoxetine	DrugBank	PubMed:9537821
1601	LIG1	Bleomycin	DrugBank;PubMed:21804595	PubMed:17202402;PubMed:21804595
1602	LIG3	Bleomycin	DrugBank	PubMed:17202402
1603	GABRA1	Etomidate	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:19741491;PubMed:19809285;PubMed:11752352;PubMed:17139284;PubMed:21804595
1604	ADRA2B	Etomidate	DrugBank;PubMed:21804595	PubMed:14508322;PubMed:21804595;PubMed:20496522
1605	TYMS	Raltitrexed	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:10047461;PubMed:10482907;PubMed:10499608;PubMed:10496350;PubMed:18773878;PubMed:10598555;PubMed:10430100;PubMed:11752352;PubMed:10592235;PubMed:21804595
1606	FPGS	Raltitrexed	DrugBank	PubMed:11916544
1607	PGR	Etonogestrel	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:10601100;PubMed:15063480;PubMed:11752352;PubMed:11041225;PubMed:21804595
1608	ESR1	Etonogestrel	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:21804595;PubMed:17139284
1609	OPRM1	Morphine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:16580848;PubMed:16530171;PubMed:16580639;PubMed:11752352;PubMed:16682505;PubMed:21804595
1610	OPRK1	Morphine	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:9808678;PubMed:7959748;PubMed:16753266;PubMed:21804595;PubMed:17139284
1611	OPRD1	Morphine	DrugBank;PubMed:21804595	PubMed:16534251;PubMed:16678156;PubMed:16539674;PubMed:16530171;PubMed:12015197;PubMed:16650582;PubMed:11752352;PubMed:21804595
1612	SCN10A	Ropivacaine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:10781449;PubMed:17139284;PubMed:21804595
1613	SCN10A	Bupivacaine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:20685573;PubMed:21804595;PubMed:17139284
1614	PTGER1	Bupivacaine	DrugBank	PubMed:17016423;PubMed:19690271;PubMed:17139284
1615	ADRA1A	Dapiprazole	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:9401944;PubMed:21804595;PubMed:17139284
1616	ADRA1D	Dapiprazole	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:21804595;PubMed:17139284
1617	ADRA1B	Dapiprazole	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:17139284;PubMed:21804595
1618	PLG	Tranexamic Acid	DrugBank;KEGG Drugs	PubMed:12115473;PubMed:10625440;PubMed:10673876;PubMed:11752352;PubMed:10959704;PubMed:10400410
1619	PGR	Desogestrel	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:6645495;PubMed:10601100;PubMed:3139361;PubMed:7750284;PubMed:11752352;PubMed:11041225;PubMed:21804595
1620	ESR1	Desogestrel	DrugBank;PubMed:21804595	PubMed:10836199;PubMed:7750284;PubMed:2175153;PubMed:21804595
1621	GABRA1	Talbutal	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:11264449;PubMed:11752352;PubMed:10209232;PubMed:14579514;PubMed:21804595;PubMed:17139284;PubMed:10487207
1622	GABRA2	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1623	GABRA3	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1624	GABRA4	Talbutal	DrugBank;PubMed:21804595	PubMed:10209232;PubMed:21804595
1625	GABRA5	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1626	GABRA6	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1627	CHRNA4	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:16248797;PubMed:10487207
1628	CHRNA7	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:10487207;PubMed:16248797
1629	GRIA2	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:10487207
1630	GRIK2	Talbutal	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:10487207
1631	RXRA	Bexarotene	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:18765556;PubMed:15632250;PubMed:11702369;PubMed:17008586;PubMed:14700480;PubMed:15897247;PubMed:17483357;PubMed:21804595;PubMed:16495926;PubMed:15056048
1632	RXRB	Bexarotene	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:18765556;PubMed:17016423;PubMed:15632250;PubMed:11702369;PubMed:17008586;PubMed:14700480;PubMed:15897247;PubMed:17483357;PubMed:21804595;PubMed:16495926;PubMed:17139284;PubMed:15056048
1633	RXRG	Bexarotene	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:18765556;PubMed:15632250;PubMed:17008586;PubMed:11702369;PubMed:14700480;PubMed:15897247;PubMed:17483357;PubMed:16495926;PubMed:21804595;PubMed:15056048
1634	CACNA1C	Ibutilide	DrugBank;PubMed:21804595	PubMed:15926871;PubMed:9257085;PubMed:11752352;PubMed:21804595
1635	CACNB1	Ibutilide	DrugBank;PubMed:21804595	PubMed:15926871;PubMed:9257085;PubMed:21804595
1636	KCNH2	Ibutilide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15926871;PubMed:11602820;PubMed:16291873;PubMed:17497253;PubMed:16076272;PubMed:21804595;PubMed:15266014
1637	CACNA2D1	Ibutilide	DrugBank;PubMed:21804595	PubMed:15926871;PubMed:9257085;PubMed:21804595
1638	CACNG1	Ibutilide	DrugBank	PubMed:15926871;PubMed:9257085
1639	KCNK1	Ibutilide	DrugBank	PubMed:15926871;PubMed:9257085
1640	KCNK6	Ibutilide	DrugBank	PubMed:15926871;PubMed:9257085
1641	KCNH6	Ibutilide	DrugBank	PubMed:15926871;PubMed:9257085
1642	KCNH7	Ibutilide	DrugBank	PubMed:15926871;PubMed:9257085
1643	KCNJ11	Ibutilide	DrugBank	PubMed:15926871;PubMed:9257085
1644	TUBB1	Vindesine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:10920282;PubMed:17878523;PubMed:17465195;PubMed:17139284;PubMed:21804595
1645	SLC12A1	Chlorthalidone	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:11752352;PubMed:17139284;PubMed:21804595
1646	CA1	Ethoxzolamide	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:10995826;PubMed:12956733;PubMed:19520577;PubMed:10649985;PubMed:21804595;PubMed:7929150;PubMed:6816217
1647	CA2	Ethoxzolamide	DrugBank;KEGG Drugs	PubMed:18336310
1648	CA4	Ethoxzolamide	DrugBank;KEGG Drugs	PubMed:18336310
1649	CA7	Ethoxzolamide	DrugBank;KEGG Drugs	PubMed:18336310
1650	GABRA1	Pentobarbital	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:16866778;PubMed:11264449;PubMed:11752352;PubMed:11605100;PubMed:15240758;PubMed:14579514;PubMed:10209232;PubMed:17139284;PubMed:21804595;PubMed:11744750;PubMed:10487207
1651	GABRA2	Pentobarbital	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1652	GABRA3	Pentobarbital	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1653	GABRA4	Pentobarbital	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:10209232;PubMed:21804595
1654	GABRA5	Pentobarbital	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1655	GABRA6	Pentobarbital	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:11264449;PubMed:10209232;PubMed:21804595
1656	CHRNA4	Pentobarbital	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:16248797;PubMed:10487207
1657	CHRNA7	Pentobarbital	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:16248797;PubMed:10487207
1658	GRIA2	Pentobarbital	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:10487207
1659	GRIK2	Pentobarbital	DrugBank;PubMed:21804595	PubMed:11264449;PubMed:21804595;PubMed:10487207
1660	HDAC9	Valproic Acid	DrugBank;KEGG Drugs	PubMed:15289798;PubMed:15685243;PubMed:20811699;PubMed:15166525;PubMed:17514356;PubMed:15242819;PubMed:15850602
1661	ABAT	Valproic Acid	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:17016423;PubMed:11025174;PubMed:17514356;PubMed:6805473;PubMed:17139284;PubMed:21804595;PubMed:2559361
1662	ACADSB	Valproic Acid	DrugBank	PubMed:16344985;PubMed:2112956
1663	OGDH	Valproic Acid	DrugBank	PubMed:12847559
1664	ALDH5A1	Valproic Acid	DrugBank	PubMed:12847559
1665	HTR1B	Zolmitriptan	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:20407761;PubMed:10844127;PubMed:9399012;PubMed:9859690;PubMed:10463324;PubMed:10563228;PubMed:15096229;PubMed:11752352;PubMed:11513839;PubMed:11594437;PubMed:21804595
1666	HTR1D	Zolmitriptan	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:20407761;PubMed:9399012;PubMed:10844127;PubMed:9859690;PubMed:10463324;PubMed:10563228;PubMed:15096229;PubMed:11752352;PubMed:11513839;PubMed:11594437;PubMed:21804595
1667	HTR1F	Zolmitriptan	DrugBank;PubMed:21804595	PubMed:15320857;PubMed:11834243;PubMed:15096229;PubMed:9718276;PubMed:12434581;PubMed:11752352;PubMed:21804595
1668	HTR1A	Zolmitriptan	DrugBank	PubMed:11513839
1669	PTGS2	Acetaminophen	DrugBank;PubMed:21804595	PubMed:17175104;PubMed:11752352;PubMed:17884974;PubMed:17322116;PubMed:21804595
1670	PTGS1	Acetaminophen	DrugBank;PubMed:21804595	PubMed:11752352;PubMed:21804595
1671	EGFR	Gefitinib	DrugBank;CancerRxGene;KEGG Drugs;PubMed:21804595	PubMed:11566608;PubMed:11585753;PubMed:11673690;PubMed:11752352;PubMed:11522647;PubMed:21804595;PubMed:10815932
1672	OPRM1	Codeine	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:15509185;PubMed:11752352;PubMed:17620111;PubMed:8306082;PubMed:21804595
1673	OPRK1	Codeine	DrugBank;PubMed:21804595	PubMed:17016423;PubMed:7885194;PubMed:17620111;PubMed:21804595;PubMed:17139284
1674	OPRD1	Codeine	DrugBank;PubMed:21804595	PubMed:7885194;PubMed:12067475;PubMed:11752352;PubMed:21804595;PubMed:16386786;PubMed:2156065;PubMed:8119316
1675	HTR1D	Dihydroergotamine	DrugBank;PubMed:21804595	PubMed:1379707;PubMed:1407010;PubMed:14744615;PubMed:11752352;PubMed:1324091;PubMed:21804595;PubMed:12558771;PubMed:9605573
1676	HTR1B	Dihydroergotamine	DrugBank	PubMed:8622623;PubMed:1660351;PubMed:9650800;PubMed:14744615;PubMed:10455274
1677	ADRA2A	Dihydroergotamine	DrugBank	PubMed:14744615
1678	HTR2B	Dihydroergotamine	DrugBank	PubMed:12970106;PubMed:11752352
1679	SLC6A2	Amitriptyline	DrugBank;KEGG Drugs;PubMed:21804595	PubMed:9537821;PubMed:14744476;PubMed:21804595
