# File generated by PiHelper. Please see the project web site for further details on data use terms.
# Exporter: DrugExporter
# Time: 2014.07.15 at 01:58:08 EDT
PiHelper_Drug_ID	Drug_Name	Drug_Synonyms	Description	Number_of_Targets	ATC_Codes	isFdaApproved	isCancerDrug	isNutraceutical	Number_Of_Clinical_Trials	DataSources	References
57018	Hydroxyurea	Hidrix;Biosupressin;Hydroxylurea;Hydurea;Ureaphil;Litaler;Hydrea;Droxia;Carbamyl Hydroxamate;Litalir;Hydreia;Onco-Carbide;Oxyurea;N-Carbamoylhydroxylamine;HU;Carbamohydroxamic Acid;Hydroxicarbamidum;Hydura;Carbamohydroximic Acid;Hydroxycarbamine;Carbamoyl Oxime;Carbamohydroxyamic Acid;N-Hydroxyurea;Hydroxycarbamide;Idrossicarbamide [Dcit]	"An antineoplastic agent that inhibits DNA synthesis through the inhibition of ribonucleoside diphosphate reductase. [PubChem]"	2	L01XX05	true	true	false	41	DrugBank;KEGG Drugs	ChemSpider:3530;KEGG Drug:D00341;KEGG:D00341;KEGG Compound:C07044;PubChem Compound:3657;PubChem Substance:7847407;ChEBI:5816;PubChem Substance:90752;PharmGKB:PA449942;PubChem Substance:46506927;CAS:127-07-1;PubMed:21804595;NIKKAJI:J2.937H;DrugBank:DB01005;Drugs Product Database (DPD):2247937;PDB-CCD:NHY;LigandBox:D00341;NSC:32065;National Drug Code Directory:0555-0882-02
57019	Letrozole	Letrozol;Letrozole;Femara	"Letrozole (INN, trade name Femara®) is an oral non-steroidal aromatase inhibitor that has been introduced for the adjuvant treatment of hormonally-responsive breast cancer    Estrogens are produced by the conversion of androgens through the activity of the aromatase enzyme. Letrozole blocks production of estrogens in this way by competitive, reversible binding to the heme of its cytochrome P450 unit. The action is specific, and letrozole does not reduce production of mineralo- or corticosteroids. In contrast, the antiestrogenic action of tamoxifen, the major medical therapy prior to the arrival of aromatase inhibitors, is due to its interfering with the estrogen receptor, rather than inhibiting estrogen production.  Letrozole is approved by the United States Food and Drug Administration (FDA) for the treatment of local or metastatic breast cancer that is hormone receptor positive or has an unknown receptor status in postmenopausal women. Side effects include signs and symptoms of hypoe..."	1	L02BG04	true	true	false	148	DrugBank;KEGG Drugs	BindingDB:13061;NIKKAJI:J390.644B;KEGG Drug:D00964;NCI_Drug:42086;PharmGKB:PA450196;PubChem Compound:3902;PubChem Substance:46504610;PubChem Substance:7848027;PubMed:21804595;ChemSpider:3765;DrugBank:DB01006;CAS:112809-51-5;Drugs Product Database (DPD):2231384;ChEBI:6413;KEGG Compound:C08163;LigandBox:D00964;KEGG:D00964
57020	Busulfan	Tetramethylene Dimethane Sulfonate;Mitosan;Myeleukon;Myleran;Misulban;Mylecytan;Myelosan;Mielosan;Myleran Tablets;Mitostan;Mielucin;Busulfex;Myeloleukon;Tetramethylenester Kyseliny Methansulfonove;Milecitan;Mablin;Buzulfan;Sulphabutin;Sulfabutin;Citosulfan;Leucosulfan;Mileran;Butanedioldimethanesulfonate;Busulphan;Mielevcin;Busulphane	"Busulfan is a bifunctional alkylating agent, having a selective immunosuppressive effect on bone marrow. It is not a structural analog of the nitrogen mustards. It has been used in the palliative treatment of chronic myeloid leukemia (myeloid leukemia, chronic), but although symptomatic relief is provided, no permanent remission is brought about. According to the Fourth Annual Report on Carcinogens (NTP 85-002, 1985), busulfan is listed as a known carcinogen. [PubChem]"	0	L01AB01	true	true	false	311	DrugBank	DrugBank:DB01008;PubChem Compound:2478;ChEBI:28901;Drugs Product Database (DPD):2240602;ChemSpider:2384;PubChem Substance:46506234;KEGG Drug:D00248;PharmGKB:PA448691;National Drug Code Directory:67286-0054-2
57021	Ketoprofen	Epatec;Orugesic;Alrheumun;m-Benzoylhydratropic acid;Meprofen;Toprek;Profenid;Fastum;Orudis KT;Capisten;Oscorel;Kefenid;Ketopron;Oruvail;Lertus;Alrheumat;Toprec;Dexal;Actron;Iso-K;Menamin;Orudis	"Ketoprofen, a propionic acid derivative, is a nonsteroidal anti-inflammatory agent (NSAIA) with analgesic and antipyretic properties. "	3	M01AE03;M01AE17;M02AA10	true	true	false	1	DrugBank;KEGG Drugs	Drugs Product Database (DPD):2245967;KEGG Drug:D00132;KEGG:D08103;ChEBI:6128;CAS:57495-14-4;KEGG:D00132;PubChem Substance:7847200;CAS:22071-15-4;LigandBox:D08103;LigandBox:D08102;KEGG:D08102;PubMed:21804595;CAS:57469-78-0;KEGG Compound:C01716;PubChem Compound:3825;National Drug Code Directory:0378-4070-01;LigandBox:D00132;ChemSpider:3693;PharmGKB:PA450149;DrugBank:DB01009;PubChem Substance:46505715;PubChem Substance:96024792;PubChem Substance:96024793;NIKKAJI:J3.468A;NIKKAJI:J149.250K
57022	Edrophonium	Edrophone Chloride;Tensilon chloride;Reversol;Edrophonum;Edrophonium Chloride;Tensilon;Antirex;Enlon;EDR;Enlon Plus;Edrophonium Ion	"A rapid-onset, short-acting cholinesterase inhibitor used in cardiac arrhythmias and in the diagnosis of myasthenia gravis. It has also been used as an antidote to curare principles. [PubChem]"	2		true	false	false	-1	DrugBank;KEGG Drugs	KEGG:D00994;NIKKAJI:J259.353J;PubChem Compound:3202;PharmGKB:PA449437;ChemSpider:3090;PDB:EDR;PubMed:21804595;PubChem Substance:7848057;Drugs Product Database (DPD):2188848;DrugBank:DB01010;National Drug Code Directory:10019-873-15;ChEBI:251408;CAS:116-38-1;PubChem Substance:46507530;LigandBox:D00994;KEGG Compound:C06976
57023	Metyrapone	Metopiron;Methbipyranone;Metyrapon;Metapirone;Methopyrone;Methopyrinine;Methopirapone;Mepyrapone;Metapyron;Methopyrapone;Methapyrapone;Metopirone;Metroprione;Metopyrone	"An inhibitor of the enzyme steroid 11-beta-monooxygenase. It is used as a test of the feedback hypothalamic-pituitary mechanism in the diagnosis of cushing syndrome. [PubChem]"	1	V04CD01	true	false	false	-1	DrugBank;KEGG Drugs	ChEBI:6911;CAS:908-35-0;National Drug Code Directory:0078-0455-17;ChemSpider:4030;KEGG Drug:D00410;LigandBox:D00410;PDB-CCD:MYT;PDB:MYT;PubChem Substance:47206746;PubChem Compound:4174;PubMed:21804595;LigandBox:D05019;KEGG:D00410;NIKKAJI:J1.369B;PharmGKB:PA450486;CAS:54-36-4;DrugBank:DB01011;KEGG:D05019;KEGG Compound:C07205;PubChem Substance:7847476;PubChem Substance:46504862
57024	Cinacalcet	Sensipar	"Cinacalcet (INN) is a drug that acts as a calcimimetic (i.e. it mimics the action of calcium on tissues) by allosteric activation of the calcium-sensing receptor that is expressed in various human organ tissues. It is sold by Amgen under the trade name Sensipar® in North America and Australia and as Mimpara® in Europe. Cinacalcet is used to treat hyperparathyroidism (elevated parathyroid hormone levels), a consequence of parathyroid tumors and chronic renal failure."	1	H05BX01	true	false	false	-1	DrugBank;KEGG Drugs	Guide to Pharmacology:3308;NIKKAJI:J1.645.239D;LigandBox:D03505;LigandBox:D03504;ChEBI:48390;KEGG:D03505;PharmGKB:PA164776671;KEGG:D03504;IUPHAR:3308;National Drug Code Directory:55513-073-30;PubChem Substance:17397638;PubMed:21804595;PubChem Substance:46506315;PubChem Substance:17397639;DrugBank:DB01012;CAS:364782-34-3;PubChem Compound:156419;ChemSpider:137743;NIKKAJI:J2.128.387H;CAS:226256-56-0;Drugs Product Database (DPD):2257157
57025	Clobetasol	Dermovate;Clobesol;Temovate E;Clobetasol Propionate;Clobetasolpropionat mikron.;Clobetasole propionate;Embeline E;Clobetasol propionate [USAN:JAN];Clobex;Olux;Temovate;Embeline	"A derivative of prednisolone with high glucocorticoid activity and low mineralocorticoid activity.  Absorbed through the skin faster than fluocinonide, it is used topically in treatment of psoriasis but may cause marked adrenocortical suppression. [PubChem]"	2	D07AD01	true	true	false	4	DrugBank;KEGG Drugs	KEGG Drug:D01272;National Drug Code Directory:0462-0269-50;CAS:25122-41-2;CAS:25122-46-7;PubChem Substance:51092011;Drugs Product Database (DPD):2245524;PubChem Substance:7848335;KEGG:D07715;PubMed:21804595;LigandBox:D01272;KEGG:D01272;NIKKAJI:J19.393C;DrugBank:DB01013;LigandBox:D07715;PharmGKB:PA164744375;NIKKAJI:J21.005F;ChEBI:205919
57026	Balsalazide	Balsalazidum [Latin];Balsalazide disodium;Colazal;Balsalazido [Spanish];Balsalazida [Spanish];Carbadox	"Balsalazide is an anti-inflammatory drug used in the treatment of Inflammatory Bowel Disease. It is sold under the name "Colazal" in the US and "Colazide" in the UK.    The chemical name is (E)-5-[[-4-(2-carboxyethyl) aminocarbonyl] phenyl]azo] -2-hydroxybenzoic acid. It is usually administered as the disodium salt.    Balsalazide releases mesalazine, also known as 5-aminosalicylic acid, or 5-ASA, in the large intestine. Its advantage over that drug in the treatment of Ulcerative colitis is believed to be the delivery of the active agent past the small intestine to the large intestine, the active site of ulcerative colitis."	4	A07EC04	true	false	false	-1	DrugBank	DrugBank:DB01014;National Drug Code Directory:65649-101-02;ChEBI:267413;PharmGKB:PA448536
57027	Glyburide	Benclamin;Tiabet;Glibenclamide;Orabetic;Libanil;Glibil;Glucomid;Hexaglucon;Glitisol;Glisulin;Glidiabet;Glybenclamide;Nadib;Glimide;Humedia;Gliban;Glibenclamid-Ratiopharm;Glucoven;GBN 5;Malix;Gliboral;Glycolande;Glucobene;Glubate;Calabren;Cytagon;Glucolon;Glibenclamid-Cophar;Euglucan;Glibetic;Glibenclamid Basics;Glycomin;Glucoremed;Gluco-Tablimen;Glibenclamid Genericon;Semi-Daonil;Neogluconin;Diabeta;Glibenclamid AL;Dibelet;Praeciglucon;Daonil;Melix;Lederglib;Glibenclamid Heumann;Glibenil;Glucohexal;Med-Glionil;Diabiphage;Normoglucon;Glibenclamid Riker M.;Dia-basan;Glimel;Glynase;Gen-Glybe;Gewaglucon;Glibesyn;Glibet;Duraglucon;Gliben;Glibadone;Sugril;Glyben;Glibenclamida [INN-Spanish];Adiab;Glybenzcyclamide;Micronase;Glibenclamid Fabra;Gliben-Puren N;Euglucon 5;Glibenclamidum [INN-Latin];Glimidstata;Gluben;Glicem;Debtan;Euglykon;Betanase;Novo-Glyburide;Euglucon;Yuglucon;Glibens;Norglicem 5;Betanese 5;Glibenbeta;Gilemal;PresTab;Lisaglucon;Miglucan;Bastiverit;Glamide;Euclamin;Suraben;Apo-Glibenclamide;Pira;Maninil;Azuglucon;Prodiabet;Renabetic;Abbenclamide	"Glyburide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the sulfonylurea class of insulin secretagogues, which act by stimulating &beta; cells of the pancreas to release insulin. Sulfonylureas increase both basal insulin secretion and meal-stimulated insulin release. Medications in this class differ in their dose, rate of absorption, duration of action, route of elimination and binding site on their target pancreatic &beta; cell receptor. Sulfonylureas also increase peripheral glucose utilization, decrease hepatic gluconeogenesis and may increase the number and sensitivity of insulin receptors. Sulfonylureas are associated with weight gain, though less so than insulin. Due to their mechanism of action, sulfonylureas may cause hypoglycemia and require consistent food intake to decrease this risk. The risk of hypoglycemia is increased in elderly, debilitated and malnourished individuals. Glyburide has been show..."	9	A10BB01	true	true	false	-1	DrugBank;KEGG Drugs	PubChem Substance:46509154;Guide to Pharmacology:2414;KEGG Drug:D00336;ChemSpider:3368;Drugs Product Database (DPD):2248008;PubChem Compound:3488.0;PubChem Substance:7847402;PubMed:21804595;PubChem Compound:3488;PharmGKB:PA449782;CAS:10238-21-8;IUPHAR:2414;National Drug Code Directory:0378-1113-01;KEGG:D00336;KEGG Compound:C07022;ChEBI:5441;CTRP:138;DrugBank:DB01016;LigandBox:D00336;NIKKAJI:J3.430D
57028	Guanfacine	Guanfacine HCl;Guanfacina [INN-Spanish];Estulic;Guanfacinum [INN-Latin];Intuniv;SPD 503;Guanfacine Hydrochloride;Tenex	"A centrally acting antihypertensive agent. The drug lowers both systolic and diastolic blood pressure by activating the central nervous system alpha-2 adrenoreceptors, which results in reduced sympathetic outflow leading to reduced vascular tone. Its adverse reactions include dry mouth, sedation, and constipation. [PubChem]"	3	C02AC02	true	false	false	-1	DrugBank;KEGG Drugs	PubChem Compound:3519;Guide to Pharmacology:522;KEGG:D08031;KEGG Compound:C07037;National Drug Code Directory:55567-051-18;NIKKAJI:J262.680B;PubChem Substance:7847672;NIKKAJI:J21.225C;ChemSpider:3399;PubMed:21804595;PubChem Substance:46506169;KEGG:D00606;CAS:29110-47-2;LigandBox:D08031;PubChem Substance:96024724;IUPHAR:522;LigandBox:D00606;CAS:29110-48-3;PharmGKB:PA449825;DrugBank:DB01018
57029	Bethanechol	Mechotane;Mictone;Besacholine;Myocholine;Mecothane;BTC;Bethanechol Chloride;Carbamylmethylcholine Chloride;Duvoid;Urecholine Chloride;Amidopropyldimethylbetaine;Bethaine Choline Chloride;Mictrol;Urecholine;Beta-Methyl Carbachol Chloride;Myotonachol;Uro-Carb;Mechothane;Urabeth;Myotonine Chloride	"Bethanechol is a synthetic ester structurally and pharmacologically related to acetylcholine. A slowly hydrolyzed muscarinic agonist with no nicotinic effects, bethanechol is generally used to increase smooth muscle tone, as in the GI tract following abdominal surgery or in urinary retention in the absence of obstruction. It may cause hypotension, cardiac rate changes, and bronchial spasms. [PubChem]"	5	N07AB02	true	false	false	-1	DrugBank;KEGG Drugs	PubChem Compound:2370;Guide to Pharmacology:297;KEGG:D01000;ChemSpider:2280;PubChem Substance:7848063;PubChem Substance:46507707;PharmGKB:PA448613;Drugs Product Database (DPD):2237048;ChEBI:3084;PubMed:21804595;KEGG Compound:C06850;National Drug Code Directory:0527-1332-01;IUPHAR:297;NIKKAJI:J277.869F;LigandBox:D01000;CAS:590-63-6;DrugBank:DB01019
57030	Isosorbide Mononitrate	Edistol;Monoclair;Elantan Retard;Olicard;Monocord 20;Sigacora;Ismox;Duride;Monicor;Monoket Retard;Ismexin;Monisid;Pentacard;Monolong 60;Conpin;IS 5MN;Isomon;Elantan;IHD;Ismn Abz;Monizid;Mononitrate d'Isosorbide [French];Mononit 40;Nitex;Monit 20;Ismn Basics;Monotrate;Mono-Mack;Isopen-20;Nitramin;Mononit Retard 50;Vasdilat;Etimonis;Conpin Retardkaps;Medocor;Ismn Heumann;Iturol;Pentacard 20;Ismo-20;Ismn Hexal;Epicordin;Mono Corax Retard;Corangin Sr;Imodur;Uniket;Isomonit;ISMN;Plodin;Isomonat;Olicardin;Monodur Durules;Multitab;Imdur 60;Pertil;Monopront;Orasorbil;Imazin;Mono-Sanorania;Monocord 40;ISMN AL;Ismn Stada;Promocard;Turimonit;Ismn Apogepha;Monis;Monit;Monosorbitrate;Ismn Atid;Isosorbidi Mononitras [Latin];Monolong 40;Imtrate;Monoket;Imdur;Mononit 20;Monosordil;Elantan Long;Monosorb;Sorbimon;Monocedocard;Mono Corax;Imdur Durules;Mono Mack;Monocord 50 Sr;Monoket Od;Ismn Lannacher;Mononitrato de Isosorbida [Spanish];Vasotrate;Monolong;Corangin;Fem-Mono;Ismo;Monosigma;Mononit;Percorina;Titarane	"Isosorbide mononitrate is a drug used principally in the treatment of angina pectoris[1] and acts by dilating the blood vessels so as to reduce the blood pressure. It is sold by AstraZeneca under the trade name Imdur.    Isosorbide mononitrate is used to for the the prophylactic treatment of angina pectoris; that is, it is taken in order to prevent or at least reduce the occurrence of angina. Research on Isosorbide mononitrate as a cervical ripener to reduce time at hospital to birth is supportive.    Isosorbide mononitrate is an active metabolite of isosorbide dinitrate and exerts qualitatively similar effects. Isosorbide mononitrate reduces the workload of the heart by producing venous and arterial dilation. By reducing the end diastolic pressure and volume, isosorbide mononitrate lowers intramural pressure, hence leading to an improvement in the subendocardial blood flow. The net effect when administering isosorbide mononitrate is therefore a reduced workload for the heart and an im..."	1	C01DA14	true	false	false	-1	DrugBank	PubChem Compound:27661;ChemSpider:25736;National Drug Code Directory:0085-3306-03;DrugBank:DB01020;KEGG Drug:D00630;ChEBI:6062;PharmGKB:PA450126;Drugs Product Database (DPD):2126559;PubChem Substance:46506594;KEGG Compound:C07714
57031	Trichlormethiazide	Nakva;Naqua;Esmarin;Trichlorex;Aponorin;Achletin;Diu-Hydrin;Trichloromethiadiazide;Gangesol;Metahydrin;Triclordiuride;Trichlormethiazide W/ Reserpine;Tolcasone;Hydrotrichlorothiazide;Cretonin;Anistadin;Flurese;Naquasone;Chlopolidine;Eurinol;Isestran;Diurazida;Salurin;Anatran;Tachionin;Triflumen;Carvacron;Diurese;Triclormetiazide;Trichloromethiazide;Schebitran;Kubacron;Metatensin;Trichlormas;Flutra;Fluitran;Intromene;Trichlormethiazid;Diuroral;Trichlormetazid	"A thiazide diuretic with properties similar to those of hydrochlorothiazide. (From Martindale, The Extra Pharmacopoeia, 30th ed, p830)"	7	C03AA06	true	false	false	-1	DrugBank;KEGG Drugs	NIKKAJI:J2.527E;LigandBox:D00658;KEGG Compound:C07767;CAS:133-67-5;PubMed:21804595;BindingDB:26998;PharmGKB:PA164752426;DrugBank:DB01021;ChemSpider:5359;PubChem Substance:7847724;PubChem Substance:46508880;PubChem Compound:5560;KEGG Drug:D00658;KEGG:D00658
57032	Phytonadione	K-Ject;Konakion;Phythyl-menadion (GERMAN);Phytomenadione;Aqua-Mephytin;Phyllochinon;Kativ N;Antihemorrhagic vitamin;Vitamin K1;Phylloquinone;Kephton;alpha-Phylloquinone;2-Methyl-3-phythyl-1,4-naphthochinon;Synthex P;Phytylmenadione;2', 3'-trans-Vitamin K1;AquaMEPHYTON;Combinal K1;Vitamin K;Monodion;Mono-Kay;Mephyton;Kinadion;3-Phytylmenadione	"Phytonadione is often called vitamin K1. It is a fat-soluble vitamin that is stable to air and moisture but decomposes in sunlight. It is found naturally in a wide variety of green plants. Phylloquinone is also an antidote for coumatetralyl. Vitamin K is needed for the posttranslational modification of certain proteins, mostly required for blood coagulation."	2	B02BA01	true	false	false	-1	DrugBank	KEGG Compound:C02059;PharmGKB:PA450961;KEGG Drug:D00148;DrugBank:DB01022;ChEBI:18067;Drugs Product Database (DPD):243876;National Drug Code Directory:0548-1240-00;PubMed:21804595
57033	Felodipine	Plendil ER;AGON SR;Felodur ER;Perfudal;Flodil;Plendil;Modip;Felodipina [INN-Spanish];Penedil;Munobal;Felogard;Plendil Retard;Plandil;Prevex;Hydac;Feloday;Felodipine [Usan:Ban:Inn];Lexxel;Dl-Felodipine;Felodipinum [INN-Latin];Plendil Depottab;Splendil;Munobal Retard;Preslow;Renedil;Agon	"Felodipine is a long-acting 1,4-dihydropyridine calcium channel blocker (CCB)b. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, felodipine prevents calcium-dependent myocyte contraction and vasoconstriction. Felodipine is the most potent CCB in use and is unique in that it exhibits fluorescent activity. In addition to binding to L-type calcium channels, felodipine binds to a number of calcium-binding proteins, exhibits competitive antagonism of the mineralcorticoid receptor, inhibits the activity of calmodulin-dependent cyclic nucleotide phosphodiesterase, and blocks calcium influx through voltage-gated T-type calcium channels. Felodipine is used to treat mild to moderate essential hypertension. "	14	C08CA02	true	false	false	-1	DrugBank;KEGG Drugs	Drugs Product Database (DPD):2222000;PubChem Substance:7847385;PubChem Compound:3333;KEGG Drug:D00319;BindingDB:50017710;PharmGKB:PA449591;LigandBox:D00319;PubMed:21804595;IUPHAR:4190;PubChem Substance:46506968;DrugBank:DB01023;ChEBI:585948;Guide to Pharmacology:4190;NIKKAJI:J11.263A;National Drug Code Directory:0378-5011-01;KEGG:D00319;ChemSpider:3216;CAS:72509-76-3
57034	Mycophenolic acid	Myfortic;Melbex;Mycophenoic acid	"Mycophenolic acid is an an immunosuppresant drug and potent anti-proliferative, and can be used in place of the older anti-proliferative azathioprine. It is usually used as part of triple therapy including a calcineurin inhibitor (ciclosporin or tacrolimus) and prednisolone. It is also useful in research for the selection of animal cells that express the E. coli gene coding for XGPRT (xanthine guanine phosphoribosyltransferase)."	2	L04AA06	true	true	false	1	DrugBank;KEGG Drugs	PharmGKB:PA164748728;NSC:129185;PubChem Substance:47206821;LigandBox:D05096;PubChem Substance:47206820;PDB-CCD:MOA;PubMed:21804595;National Drug Code Directory:0078-0386-66;PubChem Compound:446541;CAS:116680-01-4;DrugBank:DB01024;PDB:MOA;PubChem Substance:420202;KEGG:D00752;CAS:37415-62-6;NIKKAJI:J378.713C;PubChem Substance:7847817;CAS:24280-93-1;NIKKAJI:J2.768E;Drugs Product Database (DPD):2264560;PubChem Substance:144075322;KEGG:D05094;BindingDB:19264;KEGG:D05095;LigandBox:D05095;LigandBox:D05094;PubChem Substance:47206819;DrugBank:DB00688;KEGG:D05096;LigandBox:D00752;NIKKAJI:J59.824K;CAS:128794-94-5;ChemSpider:393865;ChEBI:168396;NSC:757424;PubChem Substance:46504559
57035	Amlexanox	Elics;OraDisc;Amoxanox;Amlexanoxum [Latin];Amlexanoxo [Spanish];Aphthasol;Solfa;Amlexanox [USAN:INN:JAN];Amlenanox	"Amlexanox is an antiallergic drug, clinically effective for atopic diseases, especially allergic asthma and rhinitis. Amlexanox as a topical paste is a well tolerated treatment of recurrent aphthous ulcers. Recurrent aphthous ulcer (RAU) is the most prevalent oral mucosal disease in humans, estimated to affect between 5% and 50% of the general population."	4	A01AD07;R03DX01	true	false	false	-1	DrugBank	DrugBank:DB01025;ChEBI:31205;PharmGKB:PA164745310;ChemSpider:2076;PubChem Compound:2161;PubChem Substance:46504508;KEGG Drug:D01828
57036	Methoxyflurane	Methofane;Methoxifluranum;Methoxyfluranum [INN-Latin];Methoxyfluorane;Metossiflurano [Dcit];Metoxfluran;Methoxyfluran;Metoxiflurano [INN-Spanish];Pentran;Ingalan;Methoxyfluoran;Penthrane;Methoxane;Pentrane;Methoflurane;Inhalan;Analgizer;Metoxifluran;Metofane;Anecotan;Methoxiflurane	"An inhalation anesthetic. Currently, methoxyflurane is rarely used for surgical, obstetric, or dental anesthesia. If so employed, it should be administered with nitrous oxide to achieve a relatively light level of anesthesia, and a neuromuscular blocking agent given concurrently to obtain the desired degree of muscular relaxation. (From AMA Drug Evaluations Annual, 1994, p180)"	7	N02BG09	false	false	false	-1	DrugBank	PubChem Substance:46508879;PubChem Compound:4116;PharmGKB:PA450434;ChemSpider:3973;KEGG Compound:C07517;Drugs Product Database (DPD):2019027;PubMed:21804595;KEGG Drug:D00544;DrugBank:DB01028
57037	Irbesartan	Irbesarran;Avapro;Lrbesartan;Irbesartan [Usan:Inn]	"Irbesartan is an angiotensin receptor blocker (ARB) used mainly for the treatment of hypertension. It competes with angiotensin II for binding at the AT1 receptor subtype. Unlike ACE inhibitors, ARBs do not have the adverse effect of dry cough. The use of ARBs is pending revision due to findings from several clinical trials suggesting that this class of drugs may be associated with a small increased risk of cancer."	2	C09CA04	true	false	false	-1	DrugBank;KEGG Drugs	PubChem Compound:3749;KEGG:D00523;LigandBox:D00523;Drugs Product Database (DPD):2237924;PubMed:21804595;KEGG Compound:C07469;Guide to Pharmacology:589;ChemSpider:3618;NIKKAJI:J549.417F;National Drug Code Directory:0087-2771-31;CAS:138402-11-6;PubChem Substance:7847589;KEGG Drug:D00523;IUPHAR:589;DrugBank:DB01029;ChEBI:5959;PubChem Substance:46506575;PharmGKB:PA450084
57038	Topotecan	Topotecane [INN-French];Topotecan Lactone;Topotecan Hydrochloride;Topotecan Hcl;Topotecanum [INN-Latin];Hycamptamine;Hycamptin;Hycamtin	"An antineoplastic agent used to treat ovarian cancer. It works by inhibiting DNA topoisomerases, type I. [PubChem];DNA Topoisomerase I Inhibitor; Cytotoxic"	2	L01XX17	true	true	false	212	DrugBank;KEGG Drugs;Cancer Cell Line Encylopedia	PubChem Substance:580652;NIKKAJI:J2.173.467E;PubChem Compound:60699;PubChem Substance:144075973;PubChem Compound:60700;PDB:TTC;PubChem Substance:46505204;NIKKAJI:J362.027A;PubMed:21804595;KEGG:D08618;PharmGKB:PA451729;KEGG Compound:C11158;LigandBox:D08618;PubChem Substance:7849229;CAS:123948-87-8;NSC:759263;NCI_Drug:41185;KEGG:D02168;CAS:119413-54-6;NSC:609699;PDB-CCD:TTC;DrugBank:DB01030;PubChem Substance:96025302;Drugs Product Database (DPD):2231116;ChemSpider:54705;National Drug Code Directory:0007-4201-01;LigandBox:D02168
57039	Ethinamate	Valmid;Ethinimate;Valmidate;Etinamate;Valaminettae;Valaminetten;USAF EL-42;Volamin;Ethinamat;Valamin	"Ethinamate is a short-acting sedative-hypnotic medication used to treat insomnia. Regular use leads to tolerance, and it is usually not effective for more than 7 days. Structurally, it does not resemble the barbituates, but it shares many effects with this class of drugs; the depressant effects of ethinamate are, however, generally milder than those of most barbiturates."	2		true	false	false	-1	DrugBank	DrugBank:DB01031;KEGG Drug:D00703;PharmGKB:PA164745394;PubChem Compound:3284;KEGG Compound:C07832;PubChem Substance:46507468;ChEBI:4884;ChemSpider:3169
57040	Probenecid	Benemid;Probalan;Proben;Benuryl;Probecid;Probenecid Acid;Benecid	"The prototypical uricosuric agent. It inhibits the renal excretion of organic anions and reduces tubular reabsorption of urate. Probenecid has also been used to treat patients with renal impairment, and, because it reduces the renal tubular excretion of other drugs, has been used as an adjunct to antibacterial therapy. [PubChem]"	4	M04AB01	true	false	false	-1	DrugBank	Guide to Pharmacology:4357;PharmGKB:PA451106;IUPHAR:4357;Drugs Product Database (DPD):294926;National Drug Code Directory:0378-0156-01;KEGG Compound:C07372;DrugBank:DB01032;PubChem Compound:4911;KEGG Drug:D00475;PubChem Substance:46506554;PubMed:21804595;ChemSpider:4742
57041	Mercaptopurine	Mercaptopurine Monohydrate;6 MP;Mercaptopurine;Purinethol;MP;6-Mercaptopurine;Leukerin;Ismipur;Puri-Nethol;Mern;Mercaleukim;Mercaleukin;Purimethol;Mercapurin;Leupurin	"An antimetabolite antineoplastic agent with immunosuppressant properties. It interferes with nucleic acid synthesis by inhibiting purine metabolism and is used, usually in combination with other drugs, in the treatment of or in remission maintenance programs for leukemia. [PubChem]"	1	L01BB02	true	true	false	116	DrugBank	NCI_Drug:43436;National Drug Code Directory:0378-3547-52;NSC:759614;PubChem Substance:538245;KEGG Compound:C02380;ChEBI:2208;KEGG Drug:D04931;Drugs Product Database (DPD):4723;PubChem Compound:667490;PharmGKB:PA450379;NSC:755;PubMed:21804595;DrugBank:DB01033;ChemSpider:580869;BindingDB:50200098;PubChem Substance:46506988;PubChem Substance:144076092
57042	Cerulenin	Helicocerin	"Cerulenin is an antifungal antibiotic that inhibits sterol and fatty acid biosynthesis. In fatty acid synthesis, reported to bind in equimolar ratio to b-keto-acyl-ACP synthase. In sterol synthesis, inhibits HMG-CoA synthetase activity. It is also shown to inhibit feeding and induce dramatic weight loss in mice. It is found naturally in the Cephalosporium caerulensfungus. [Wikipedia]"	2		true	true	false	-1	DrugBank	ChemSpider:26530;PubChem Compound:5282054;PDB:CER;DrugBank:DB01034;KEGG Compound:C12058;ChEBI:171741;PubChem Compound:5282054.0;PubChem Substance:46508217;CTRP:88;PharmGKB:PA164764551
57043	Procainamide	Procamide;Procan Sr;Procaine Amide;Procanbid;Procainamide Hcl;Promine;Procapan;Biocoryl;Procan;Pronestyl;Novocainamid;Novocaine Amide;Novocamid;Novocainamide;Pronestyl-Sr	"A derivative of procaine with less CNS action. [PubChem]"	8	C01BA02	true	false	false	-1	DrugBank;KEGG Drugs	PubChem Substance:46507313;LigandBox:D00477;PharmGKB:PA451108;CAS:614-39-1;NIKKAJI:J4.110F;CAS:51-06-9;PubChem Substance:96025107;ChEBI:8428;NIKKAJI:J300.505D;PubMed:21804595;DrugBank:DB01035;KEGG:D00477;National Drug Code Directory:0003-0758-50;ChemSpider:4744;PubChem Substance:7847543;LigandBox:D08421;KEGG:D08421;PubChem Compound:4913;KEGG Compound:C07401;Drugs Product Database (DPD):713341
